CATEGORY,COLORS,DESCRIPTION,DURATION,ID,IMAGE URL,NAME,NOISE,PRICE,PRICE_PER_KG,PRICE_PER_SECOND,PRICE_PER_SHOT,SECONDS_PER_SHOT,SHOTS,VIDEO URL,VISUAL,WEIGHT
8,"Grænn, Rauður, Fjólublár, Silfur, Gull, Blár","Fjölbreytt blævængskaka sem að dreifir sér vel um himinninn, skýtur bæði upp í Z og V. Græn, rauð og fjólublá glitrandi stjörnublóm með silfurregni sem endar í brakandi stjörnuglitri. Því næst gylltir frussandi halar og silfruð blóm með bláu leiftri sem skotið er upp í V. Endar á silfruðu brakandi glitri sem baðar himininn ljósi.",30,180801,https://images.prismic.io/landsbjorg-www/Z2VV75bqstJ98ukk_bj%C3%B6rgunarsveitarkappi.png,Björgunarsveitarkappi,3,20500,#DIV/0!,683.3333333,320.3125,0.46875,64,https://www.youtube.com/watch?v=yQ7JKeFh3Sk,5,
8,"Rauður, Grænn, Blár, Gull, Silfur",Þessi er heldur betur með læti. Stakar litskrúðugar sprengingar fylla alla fjallasali af fegurð. Þegar líður á þá æsist leikur og himnar fyllast af skrauti og fegurð,55,240803,https://images.prismic.io/landsbjorg-www/Z2BPJ5bqstJ98kds_L2419-T%C3%A6kjatertaFjallabjorgun.png,Fjallabjörgun,4,16900,#DIV/0!,307.2727273,241.4285714,0.7857142857,70,https://player.vimeo.com/video/1026850268,5,
8,"Rauður, Blár, Grænn, Gull",Stakar mislitar flaugar sem byrja með rauðum lit og siglir fljótlega yfir í bláan og grænan. Þessi terta endar svo með fallegum gullhölum. Sannarlega tími til að njóta.,30,240801,https://images.prismic.io/landsbjorg-www/Z2BRbZbqstJ98ke4_L1708-T%C3%A6kjatertaSj%C3%B3bj%C3%B6rgun.png,Sjóbjörgun,5,12900,#DIV/0!,430.0,307.1428571,0.7142857143,42,https://player.vimeo.com/video/1039992463,5,
8,Gull,"Sendir upp fallegar litlar tívolíbombur sem enda allar í gneistandi gullregni sem fyllir himininn með braki og brestum. Taktföst og ákveðin, falleg en rásföst.",20,240802,https://images.prismic.io/landsbjorg-www/Z2BN9JbqstJ98kc9_L2207-T%C3%A6kjatertaB%C3%ADlstj%C3%B3ri.png,Bílstjóri,4,14900,4966.666667,745.0,413.8888889,0.5555555556,36,https://player.vimeo.com/video/1039992266,5,3.0
8,Marglita,Kraftmikil snjóbílaterta sem sendir upp blys í taktföstum skömmtum og fjölbreyttnin ræður ríkjum. Sannarlega augnayndi og terta fyrir þá sem vilja alvöru sýningu með ólíkum blysum.,38,220807,https://images.prismic.io/landsbjorg-www/11ffe5e4-5e9a-41d4-b097-e10d51f9a03c_Flugeldar+%3D+t%C3%A6kjaterta+snj%C3%B3b%C3%ADlar.png,Snjóbílar,4,31900,#DIV/0!,839.4736842,443.0555556,0.5277777778,72,https://player.vimeo.com/video/781399910,5,
8,"Gull, Rauður",Gullhalar sem þeytast upp með rauðum ljósum og springa í fallegar hvelfingar. Þessu fylgir taktfastur jeppasöngur þar sem ýluhljóð eru í aðalhlutverki. ,47,220804,https://images.prismic.io/landsbjorg-www/e28746ff-957e-4aa9-80c9-bb55a7b48973_Flugeldar+-+t%C3%A6kjaterta+jeppar.png,Fjallajeppar,4,23900,#DIV/0!,508.5106383,487.755102,0.9591836735,49,https://player.vimeo.com/video/781404533,5,
8,"Gull, Marglita","Trukkur, Krafturinn er mikill þegar hún þeytir upp hverri dýrðinni á fætur annari. Fallegar hvelfingar ein af annarri með miklu trukki. Um miðbik koma fallegir halar og það hreinlega rignir gulli. Endar með gríðarlegum látum.",70,230802,https://images.prismic.io/landsbjorg-www/8ba22dcb-605f-4c25-b28d-7838a262f550_2023.12+-+t%C3%A6kjaterta+trukkar.png,Trukkar,5,34900,#DIV/0!,498.5714286,491.5492958,0.985915493,71,https://player.vimeo.com/video/891397238,5,
8,"Rauður, Gull, Silfur","Slöngubátar, Glæsileg terta sem byrjar með takföstum rauðum skotum og færir sig yfir í gyllta liti sem fyllir himininn fegurð. Blævangurinn skiptir síðan um ham og slöngvar upp gull- og silfurregni með látum sem endar með trompi.",73,230803,https://images.prismic.io/landsbjorg-www/825b2c52-09b3-49a6-beb8-abe4f10cb5f3_2023.12+-+t%C3%A6kjaterta+sl%C3%B6ngub%C3%A1tar.png,Slöngubátar,4,32900,#DIV/0!,450.6849315,231.6901408,0.514084507,142,https://player.vimeo.com/video/891411415,5,
8,"Silfur, Marglita",Stakar öflugar sprengjur sem springa í silfurlitaðar hvelfingar með fallegum hölum. Næst taka við litaðir halar og fjölbreytt skothríð þar sem litir og læti taka völdin. Endar með silfurgosi með braki og brestum. Alvöru sýning.,53,220806,https://images.prismic.io/landsbjorg-www/924155b7-8ed7-4206-9b9a-555c6410b70d_Flugeldar+-+t%C3%A6kjaterta+fj%C3%B3rhj%C3%B3l.png,Fjórhjól,4,28900,#DIV/0!,545.2830189,321.1111111,0.5888888889,90,https://player.vimeo.com/video/781399826,5,
8,"Gull, Grænn, Silfur",Í þessari tertu er boðið upp á hraða og kraft. Fallegar gylltar tívolíhvelfingar með grænum og rauðum stjörnum sem breytast yfir í silfurhnoðra. Endar með fjölbreyttum sprengingum með silfurhala. Gríðarlega flott.,37,220805,https://images.prismic.io/landsbjorg-www/05106ee8-55aa-43f8-9cc1-e2abed5ab012_Flugeldar+-+t%C3%A6kjaterta+v%C3%A9lsle%C3%B0ar.png,Vélsleðar,4,24900,#DIV/0!,672.972973,518.75,0.7708333333,48,https://player.vimeo.com/video/781399973,5,
8,"Rauður, Grænn, Gull","Þessi siglir undir rauðum og grænum fána. Falleg terta sem byrjar með miklum hvellum, fyrst rauðum en breytast í græna. Gylltir halar fylla svo himininn og hátíðin endan með miklum látum. Þessi svíkur engan.",40,210802,https://images.prismic.io/landsbjorg-www/5540af13-c4c7-45a2-b44b-fa016ddcbd87_Flugeldar+-+t%C3%A6kjaterta+bj%C3%B6rgunarskip22.png,Björgunarskip,4,22900,#DIV/0!,572.5,305.3333333,0.5333333333,75,https://player.vimeo.com/video/781407267,5,
8,Hvítur,Kúlur sem að skjótast upp og springa með háværum hvelli og hvítu leifturljósi (flash).,37,823,https://sulur.is/cdn/shop/products/000823-W218-25_470x.jpg,Thunder King,5,5500,#DIV/0!,148.6486486,220.0,1.48,25,https://www.youtube.com/watch?v=CHYnyLtIPsc,1,
8,"Rauður, Grænn, Gull, Fjólublár, Marglita","Blóm sem springa í knippum í einu. Byrjar á rauðu fer yfir í grænt síðan silfur þá gyllt, fjólublátt og endar síðan á marglita sprengingu.",22,240899,,Súlur 25,4,13900,#DIV/0!,631.8181818,386.1111111,0.6111111111,36,https://player.vimeo.com/video/659336813,4,
8,Silfur,Skýtur upp silfruðum kúlum sem að springa út í glæsileg blóm með háum hvellum og glitri með tilheyrandi braki og brestum.,31,90810,https://images.prismic.io/landsbjorg-www/056be894-810d-49fc-a4ab-4423235232ae_Flugeldar+-+Topgun2022.png,Top Gun,4,15900,#DIV/0!,512.9032258,1060.0,2.066666667,15,https://www.youtube.com/watch?v=LVve6dCHQM0,3,
8,"Gull, Marglita","Miðnæturtertan, Þessi er rosaleg! Geggjaður blævængur sem þeytir upp gylltum ormum sem síðan breytast í fögur marglita ljós sem fylla himininn með braki og brestum. Frábær leið til að fagna nýju ári á miðnætti.",33,230801,https://images.prismic.io/landsbjorg-www/1be1c92b-c992-40ea-8461-37a5b6a1513b_2023.12+-+Mi%C3%B0n%C3%A6turtertan.png,Miðnæturtertan,3,35900,4223.529412,1087.878788,641.0714286,0.5892857143,56,https://player.vimeo.com/video/891396560,5,8.5
